Time = 12:40:1.669, Vertical = 0, Distance = 16.00011, Driven = 0.006863128, Gap = -1.51.5,Speed = 0.0002238139
Time = 12:40:1.819, Vertical = 0.5255386, Distance = 16.00409, Driven = 0.00750639, Gap = -1.51.5,Speed = 0.0316939
Time = 12:40:1.921, Vertical = 0.5255386, Distance = 16.00582, Driven = 0.01099447, Gap = -1.4999971.5,Speed = 0.08739242
Time = 12:40:2.25, Vertical = 0.5255386, Distance = 16.00668, Driven = 0.0229177, Gap = -1.4999931.5,Speed = 0.1357921
Time = 12:40:2.160, Vertical = 0.5255386, Distance = 16.00743, Driven = 0.04420321, Gap = -1.4999941.5,Speed = 0.2094834
Time = 12:40:2.260, Vertical = 0.5255386, Distance = 16.00716, Driven = 0.07473178, Gap = -1.4999971.5,Speed = 0.2958852
Time = 12:40:2.430, Vertical = 0.5255386, Distance = 16.00681, Driven = 0.1165651, Gap = -1.4999931.5,Speed = 0.39286
Time = 12:40:2.511, Vertical = 0.5255386, Distance = 16.00755, Driven = 0.1690405, Gap = -1.4999971.5,Speed = 0.4715079
Time = 12:40:2.611, Vertical = 0.5255386, Distance = 16.01098, Driven = 0.233897, Gap = -1.4999791.5,Speed = 0.5892249
Time = 12:40:2.774, Vertical = 0.5255386, Distance = 16.02437, Driven = 0.3092856, Gap = -1.4999711.5,Speed = 0.6747667
Time = 12:40:2.860, Vertical = 0.5255386, Distance = 16.04819, Driven = 0.3997842, Gap = -1.4999391.5,Speed = 0.8071744
Time = 12:40:2.989, Vertical = 0.5255386, Distance = 16.08605, Driven = 0.5086846, Gap = -1.4998851.5,Speed = 0.9809752
Time = 12:40:3.128, Vertical = 0.5255386, Distance = 16.14031, Driven = 0.6385734, Gap = -1.4997851.5,Speed = 1.169072
Time = 12:40:3.230, Vertical = 0.5255386, Distance = 16.20986, Driven = 0.7955187, Gap = -1.4996721.5,Speed = 1.405459
Time = 12:40:3.360, Vertical = 0.5255386, Distance = 16.29803, Driven = 0.9836004, Gap = -1.4995361.5,Speed = 1.680383
Time = 12:40:3.458, Vertical = 0.5255386, Distance = 16.40966, Driven = 1.206549, Gap = -1.4993751.5,Speed = 1.987898
Time = 12:40:3.593, Vertical = 0.5255386, Distance = 16.54898, Driven = 1.468679, Gap = -1.4991851.5,Speed = 2.329993
Time = 12:40:3.695, Vertical = 0.5255386, Distance = 16.71991, Driven = 1.774433, Gap = -1.4989641.5,Speed = 2.708734
Time = 12:40:3.826, Vertical = 0.5255386, Distance = 16.92745, Driven = 2.126996, Gap = -1.4987091.5,Speed = 3.101147
Time = 12:40:3.959, Vertical = 0.5255386, Distance = 17.17543, Driven = 2.526311, Gap = -1.498421.5,Speed = 3.488756
Time = 12:40:4.59, Vertical = 0.5255386, Distance = 17.4645, Driven = 2.971806, Gap = -1.4980981.5,Speed = 3.871612
Time = 12:40:4.225, Vertical = 0.5255386, Distance = 17.79804, Driven = 3.462914, Gap = -1.4977431.5,Speed = 4.249771
Time = 12:40:4.329, Vertical = 0.5255386, Distance = 18.17339, Driven = 3.999075, Gap = -1.4973551.5,Speed = 4.623286
Time = 12:40:4.418, Vertical = 0.5255386, Distance = 18.59018, Driven = 4.579738, Gap = -1.4969351.5,Speed = 4.992206
Time = 12:40:4.551, Vertical = 0.5255386, Distance = 19.05079, Driven = 5.201456, Gap = -1.4964861.5,Speed = 5.328827
Time = 12:40:4.649, Vertical = 0.5255386, Distance = 19.55428, Driven = 5.864064, Gap = -1.4960071.5,Speed = 5.702528
Time = 12:40:4.813, Vertical = 0.5255386, Distance = 20.09812, Driven = 6.569006, Gap = -1.4954971.5,Speed = 6.052396
Time = 12:40:4.916, Vertical = 0.5255386, Distance = 20.67897, Driven = 7.318481, Gap = -1.4949551.5,Speed = 6.460145
Time = 12:40:5.82, Vertical = 0.5255386, Distance = 21.29852, Driven = 8.109642, Gap = -1.4943831.5,Speed = 6.770643
Time = 12:40:5.144, Vertical = 0.5255386, Distance = 21.95529, Driven = 8.942954, Gap = -1.493781.5,Speed = 7.098718
Time = 12:40:5.307, Vertical = 0.5255386, Distance = 22.64961, Driven = 9.817129, Gap = -1.4931481.5,Speed = 7.404624
Time = 12:40:5.380, Vertical = 0.5255386, Distance = 23.38107, Driven = 10.7316, Gap = -1.4924871.5,Speed = 7.701365
Time = 12:40:5.498, Vertical = 0.5255386, Distance = 24.14886, Driven = 11.68622, Gap = -1.4917961.5,Speed = 8.036673
Time = 12:40:5.662, Vertical = 0.5255386, Distance = 24.95268, Driven = 12.68034, Gap = -1.4910781.5,Speed = 8.362427
Time = 12:40:5.731, Vertical = 0.5255386, Distance = 25.79198, Driven = 13.71358, Gap = -1.490331.5,Speed = 8.69285
Time = 12:40:5.896, Vertical = 0.5255386, Distance = 26.66633, Driven = 14.78544, Gap = -1.4895551.5,Speed = 9.019942
Time = 12:40:5.974, Vertical = 0.5255386, Distance = 27.57529, Driven = 15.89544, Gap = -1.4887531.5,Speed = 9.343925
Time = 12:40:6.97, Vertical = 0.5255386, Distance = 28.51847, Driven = 17.04309, Gap = -1.4879231.5,Speed = 9.664791
Time = 12:40:6.229, Vertical = 0.5255386, Distance = 29.49553, Driven = 18.22781, Gap = -1.4870661.5,Speed = 9.980434
Time = 12:40:6.331, Vertical = 0.5255386, Distance = 30.50618, Driven = 19.44902, Gap = -1.4861831.5,Speed = 10.28975
Time = 12:40:6.462, Vertical = 0.5255386, Distance = 31.54999, Driven = 20.70629, Gap = -1.4852741.5,Speed = 10.59412
Time = 12:40:6.595, Vertical = 0.5255386, Distance = 32.62658, Driven = 21.99913, Gap = -1.4843391.5,Speed = 10.89306
Time = 12:40:6.693, Vertical = 0.5255386, Distance = 33.62079, Driven = 23.3271, Gap = -1.4833791.5,Speed = 11.18643
Time = 12:40:6.830, Vertical = 0.5255386, Distance = 34.4525, Driven = 24.68976, Gap = -1.4823931.5,Speed = 11.47489
Time = 12:40:6.931, Vertical = 0.5255386, Distance = 35.12458, Driven = 26.08671, Gap = -1.4813831.5,Speed = 11.75926
Time = 12:40:7.60, Vertical = 0.5255386, Distance = 35.63962, Driven = 27.5175, Gap = -1.4803481.5,Speed = 12.03996
Time = 12:40:7.193, Vertical = 0.5255386, Distance = 36.00016, Driven = 28.98174, Gap = -1.479291.5,Speed = 12.31716
Time = 12:40:7.293, Vertical = 0.5255386, Distance = 36.20872, Driven = 30.47899, Gap = -1.4782071.5,Speed = 12.59092
Time = 12:40:7.425, Vertical = 0.5255386, Distance = 36.26778, Driven = 32.00886, Gap = -1.4771011.5,Speed = 12.86129
Time = 12:40:7.528, Vertical = 0.5255386, Distance = 36.17978, Driven = 33.57094, Gap = -1.4759711.5,Speed = 13.12831
Time = 12:40:7.658, Vertical = 0.5255386, Distance = 35.94712, Driven = 35.16483, Gap = -1.4748181.5,Speed = 13.39202
Time = 12:40:7.794, Vertical = 0.5255386, Distance = 35.57216, Driven = 36.79013, Gap = -1.4736431.5,Speed = 13.65247
Time = 12:40:7.894, Vertical = 0.5255386, Distance = 35.05721, Driven = 38.44646, Gap = -1.4724451.5,Speed = 13.9097
Time = 12:40:8.27, Vertical = 0.5255386, Distance = 34.40455, Driven = 40.13344, Gap = -1.4712261.5,Speed = 14.16374
Time = 12:40:8.127, Vertical = 0.5255386, Distance = 33.61643, Driven = 41.85068, Gap = -1.4699841.5,Speed = 14.41463
Time = 12:40:8.263, Vertical = 0.5255386, Distance = 32.69505, Driven = 43.59781, Gap = -1.468721.5,Speed = 14.66241
Time = 12:40:8.392, Vertical = 0.5255386, Distance = 31.64258, Driven = 45.37446, Gap = -1.4674351.5,Speed = 14.90713
Time = 12:40:8.494, Vertical = 0.5255386, Distance = 30.46138, Driven = 47.18026, Gap = -1.4661291.5,Speed = 15.14882
Time = 12:40:8.626, Vertical = 0.5255386, Distance = 29.16105, Driven = 49.01485, Gap = -1.4648031.5,Speed = 15.38751
Time = 12:40:8.757, Vertical = 0.5255386, Distance = 27.87425, Driven = 50.87789, Gap = -1.4634561.5,Speed = 15.62325
Time = 12:40:8.912, Vertical = 0.5255386, Distance = 26.6482, Driven = 52.769, Gap = -1.4620881.5,Speed = 15.85606
Time = 12:40:8.976, Vertical = 0.5255386, Distance = 25.48124, Driven = 54.68785, Gap = -1.46071.5,Speed = 16.086
Time = 12:40:9.147, Vertical = 0.5255386, Distance = 24.37627, Driven = 56.63409, Gap = -1.4592931.5,Speed = 16.31308
Time = 12:40:9.211, Vertical = 0.5255386, Distance = 23.33051, Driven = 58.60738, Gap = -1.4578661.5,Speed = 16.53736
Time = 12:40:9.374, Vertical = 0.5255386, Distance = 22.34399, Driven = 60.6074, Gap = -1.456421.5,Speed = 16.75885
Time = 12:40:9.475, Vertical = 0.5255386, Distance = 21.41566, Driven = 62.6338, Gap = -1.4549541.5,Speed = 16.9776
Time = 12:40:9.575, Vertical = 0.5255386, Distance = 20.5448, Driven = 64.68626, Gap = -1.453471.5,Speed = 17.19364
Time = 12:40:9.707, Vertical = 0.5255386, Distance = 19.73064, Driven = 66.76447, Gap = -1.4519671.5,Speed = 17.40701
Time = 12:40:9.837, Vertical = 0.5255386, Distance = 18.97242, Driven = 68.86809, Gap = -1.4504461.5,Speed = 17.61773
Time = 12:40:9.938, Vertical = 0.5255386, Distance = 18.26938, Driven = 70.99681, Gap = -1.4489071.5,Speed = 17.82585
