Time = 966969140, Vertical = 0, Distance = 16.00011, Driven = 0.006863128, Gap = -1.51.5,Speed = 0.0002238139
Time = 966969265, Vertical = 0, Distance = 16.00472, Driven = 0.007460537, Gap = -1.51.5,Speed = 0.004946188
Time = 966969375, Vertical = 1, Distance = 16.01349, Driven = 0.007662452, Gap = -1.51.5,Speed = 0.0002469635
Time = 966969484, Vertical = 1, Distance = 16.02455, Driven = 0.008444075, Gap = -1.51.5,Speed = 0.0749912
Time = 966969609, Vertical = 1, Distance = 16.0294, Driven = 0.02285337, Gap = -1.5000041.5,Speed = 0.2134216
Time = 966969718, Vertical = 1, Distance = 16.02439, Driven = 0.05760895, Gap = -1.5000021.5,Speed = 0.3669646
Time = 966969843, Vertical = 1, Distance = 16.00788, Driven = 0.1154937, Gap = -1.5000071.5,Speed = 0.5608726
Time = 966969984, Vertical = 1, Distance = 15.97806, Driven = 0.1985005, Gap = -1.5000721.5,Speed = 0.7831854
Time = 966970078, Vertical = 1, Distance = 15.93074, Driven = 0.3141069, Gap = -1.5001941.5,Speed = 1.091728
Time = 966970187, Vertical = 1, Distance = 15.86696, Driven = 0.46667, Gap = -1.5003481.5,Speed = 1.415634
Time = 966970328, Vertical = 1, Distance = 15.78595, Driven = 0.6619989, Gap = -1.5005391.5,Speed = 1.793816
Time = 966970437, Vertical = 1, Distance = 15.68633, Driven = 0.9083726, Gap = -1.5007791.5,Speed = 2.248332
Time = 966970546, Vertical = 1, Distance = 15.56456, Driven = 1.214305, Gap = -1.5010771.5,Speed = 2.774484
Time = 966970781, Vertical = 1, Distance = 15.41705, Driven = 1.588308, Gap = -1.5014421.5,Speed = 3.370879
Time = 966970796, Vertical = 1, Distance = 15.24289, Driven = 2.03873, Gap = -1.5018821.5,Speed = 4.036422
Time = 966971015, Vertical = 1, Distance = 15.04243, Driven = 2.573773, Gap = -1.5024041.5,Speed = 4.768818
Time = 966971046, Vertical = 1, Distance = 14.82009, Driven = 3.197571, Gap = -1.5030121.5,Speed = 5.45281
Time = 966971156, Vertical = 1, Distance = 14.58363, Driven = 3.910702, Gap = -1.5037081.5,Speed = 6.230585
Time = 966971375, Vertical = 1, Distance = 14.34225, Driven = 4.712196, Gap = -1.5044891.5,Speed = 6.944365
Time = 966971468, Vertical = 1, Distance = 14.10061, Driven = 5.601135, Gap = -1.5053561.5,Speed = 7.676277
Time = 966971578, Vertical = 1, Distance = 13.85989, Driven = 6.576408, Gap = -1.5063081.5,Speed = 8.400949
Time = 966971703, Vertical = 1, Distance = 13.6241, Driven = 7.636856, Gap = -1.5073421.5,Speed = 9.116408
Time = 966971812, Vertical = 1, Distance = 13.39119, Driven = 8.781274, Gap = -1.5084581.5,Speed = 9.820673
Time = 966971906, Vertical = 1, Distance = 13.16144, Driven = 10.00848, Gap = -1.5096551.5,Speed = 10.51096
Time = 966972046, Vertical = 1, Distance = 12.93482, Driven = 11.31742, Gap = -1.5109321.5,Speed = 11.18955
Time = 966972140, Vertical = 1, Distance = 12.71123, Driven = 12.70712, Gap = -1.5122881.5,Speed = 11.85911
Time = 966972250, Vertical = 1, Distance = 12.49056, Driven = 14.17658, Gap = -1.5137211.5,Speed = 12.52033
Time = 966972375, Vertical = 1, Distance = 12.27265, Driven = 15.72481, Gap = -1.5152311.5,Speed = 13.17337
Time = 966972484, Vertical = 1, Distance = 12.05734, Driven = 17.35084, Gap = -1.5168171.5,Speed = 13.81835
Time = 966972609, Vertical = 1, Distance = 11.84455, Driven = 19.05371, Gap = -1.5184791.5,Speed = 14.45534
Time = 966972734, Vertical = 1, Distance = 11.63429, Driven = 20.83246, Gap = -1.5202141.5,Speed = 15.08446
Time = 966972828, Vertical = 1, Distance = 11.42653, Driven = 22.68617, Gap = -1.5220221.5,Speed = 15.70579
Time = 966972968, Vertical = 1, Distance = 11.22122, Driven = 24.61389, Gap = -1.5239021.5,Speed = 16.31944
Time = 966973078, Vertical = 1, Distance = 11.01834, Driven = 26.61472, Gap = -1.5258541.5,Speed = 16.92549
Time = 966973203, Vertical = 1, Distance = 10.81785, Driven = 28.68775, Gap = -1.5278761.5,Speed = 17.52405
Time = 966973328, Vertical = 1, Distance = 10.61973, Driven = 30.83209, Gap = -1.5299681.5,Speed = 18.1152
Time = 966973437, Vertical = 1, Distance = 10.42394, Driven = 33.04685, Gap = -1.5321281.5,Speed = 18.69903
Time = 966973562, Vertical = 1, Distance = 10.23046, Driven = 35.33117, Gap = -1.5343571.5,Speed = 19.27563
Time = 966973671, Vertical = 1, Distance = 10.03924, Driven = 37.68418, Gap = -1.5366521.5,Speed = 19.8451
Time = 966973812, Vertical = 1, Distance = 9.850266, Driven = 40.10503, Gap = -1.5390131.5,Speed = 20.40751
Time = 966973937, Vertical = 1, Distance = 9.663499, Driven = 42.59288, Gap = -1.541441.5,Speed = 20.96297
Time = 966974031, Vertical = 1, Distance = 9.478915, Driven = 45.1469, Gap = -1.5439321.5,Speed = 21.51154
Time = 966974218, Vertical = 1, Distance = 9.181739, Driven = 47.76627, Gap = -1.5464871.5,Speed = 22.05331
Time = 966974359, Vertical = 0, Distance = 8.693151, Driven = 50.44926, Gap = -1.5491041.5,Speed = 22.54189
Time = 966974468, Vertical = -1, Distance = 8.042869, Driven = 53.1686, Gap = -1.5517561.5,Speed = 22.74477
Time = 966974546, Vertical = -1, Distance = 7.280534, Driven = 55.87681, Gap = -1.5543981.5,Speed = 22.33463
Time = 966974625, Vertical = -1, Distance = 6.503488, Driven = 58.47867, Gap = -1.5569361.5,Speed = 21.21908
Time = 966974765, Vertical = -1, Distance = 5.739847, Driven = 60.94818, Gap = -1.5593451.5,Speed = 20.12507
Time = 966974890, Vertical = -1, Distance = 4.98931, Driven = 63.28772, Gap = -1.5616281.5,Speed = 19.04947
Time = 966974984, Vertical = -1, Distance = 4.447641, Driven = 65.40153, Gap = -1.5640931.5,Speed = 15.17775
Time = 966975125, Vertical = -1, Distance = 4.484053, Driven = 67.1071, Gap = -1.5637591.5,Speed = 13.85431
Time = 966975250, Vertical = -1, Distance = 4.501384, Driven = 68.70597, Gap = -1.5702371.5,Speed = 12.94078
Time = 966975359, Vertical = 0, Distance = 4.51304, Driven = 70.19199, Gap = -1.5812081.5,Speed = 11.98409
Time = 966975484, Vertical = 0, Distance = 4.526519, Driven = 71.56404, Gap = -1.5944151.5,Speed = 11.04573
Time = 966975593, Vertical = 0, Distance = 4.539816, Driven = 72.8252, Gap = -1.6082221.5,Speed = 10.12948
Time = 966975718, Vertical = 0, Distance = 4.550483, Driven = 73.97945, Gap = -1.6217381.5,Speed = 9.432081
Time = 966975937, Vertical = 0, Distance = 4.492485, Driven = 75.09502, Gap = -1.6352821.5,Speed = 9.324659
Time = 966975984, Vertical = 0, Distance = 4.471384, Driven = 76.13418, Gap = -1.6533491.5,Speed = 8.42391
Time = 966976078, Vertical = 0, Distance = 4.470836, Driven = 77.10577, Gap = -1.6521761.5,Speed = 7.986674
Time = 966976296, Vertical = 0, Distance = 4.516278, Driven = 78.04391, Gap = -1.6509941.5,Speed = 7.893609
Time = 966976406, Vertical = 0, Distance = 4.660104, Driven = 78.97034, Gap = -1.6518431.5,Speed = 7.798951
Time = 966976515, Vertical = 0, Distance = 4.899428, Driven = 79.88512, Gap = -1.6535581.5,Speed = 7.704111
Time = 966976609, Vertical = 0, Distance = 5.232985, Driven = 80.78849, Gap = -1.6556171.5,Speed = 7.610169
Time = 966976734, Vertical = 1, Distance = 5.659275, Driven = 81.68083, Gap = -1.6578011.5,Speed = 7.529091
Time = 966976890, Vertical = 1, Distance = 6.147668, Driven = 82.59169, Gap = -1.6600931.5,Speed = 7.758677
Time = 966976984, Vertical = 1, Distance = 6.655813, Driven = 83.5624, Gap = -1.6625611.5,Speed = 8.286541
Time = 966977093, Vertical = 1, Distance = 7.163433, Driven = 84.6122, Gap = -1.6652411.5,Speed = 9.026337
Time = 966977218, Vertical = 1, Distance = 7.664552, Driven = 85.7461, Gap = -1.6681411.5,Speed = 9.732652
Time = 966977359, Vertical = 1, Distance = 8.159359, Driven = 86.96294, Gap = -1.6712541.5,Speed = 10.42477
Time = 966977484, Vertical = 1, Distance = 8.647973, Driven = 88.26167, Gap = -1.6745781.5,Speed = 11.10465
Time = 966977625, Vertical = 1, Distance = 9.13044, Driven = 89.64126, Gap = -1.6781091.5,Speed = 11.77528
Time = 966977687, Vertical = 1, Distance = 9.60684, Driven = 91.10073, Gap = -1.6818451.5,Speed = 12.43754
Time = 966977781, Vertical = 1, Distance = 10.07724, Driven = 92.63909, Gap = -1.6857831.5,Speed = 13.09161
Time = 966977875, Vertical = 1, Distance = 10.5417, Driven = 94.25538, Gap = -1.6899211.5,Speed = 13.73759
Time = 966978015, Vertical = 0, Distance = 11.00029, Driven = 95.94862, Gap = -1.6942551.5,Speed = 14.37559
Time = 966978125, Vertical = 0, Distance = 11.46352, Driven = 97.70744, Gap = -1.6987581.5,Speed = 14.79355
Time = 966978250, Vertical = 0, Distance = 11.96351, Driven = 99.49884, Gap = -1.7033441.5,Speed = 14.99271
Time = 966978359, Vertical = 0, Distance = 12.5284, Driven = 101.2938, Gap = -1.7079391.5,Speed = 14.9012
Time = 966978484, Vertical = 0, Distance = 13.18057, Driven = 103.0691, Gap = -1.7124841.5,Speed = 14.71769
