144514
Time,Accel,Brake,Distance,Driven,Gap,PlayerSpeed,FrontBrake,FrontSpeed
98198765,0,0,50.57593,34.83913,-7.6,1.798983E-18,0,0.05624445
98198937,0,0,50.58253,34.83913,-7.6,1.798983E-18,0,0.1004002
98199000,0,0,50.5962,34.83913,-7.6,1.798983E-18,0,0.1652788
98199171,0,0,50.6078,34.83913,-7.6,1.798983E-18,0,0.1098513
98199265,0,0,50.62084,34.83913,-7.6,1.798983E-18,0,0.1331946
98199406,0,0,50.64225,34.83913,-7.6,1.813525E-18,0,0.2111845
98199546,1,0,50.66208,34.83814,-7.599992,0.05031699,0,0.1577361
98199640,1,0,50.66516,34.82631,-7.599854,0.2009493,0,0.07352267
98199781,0,0,50.62871,34.78476,-7.599306,0.4280845,0,0.00893907
98199906,0,0,50.58091,34.72845,-7.598556,0.4858052,0,0.0761776
98200000,0,0,50.52902,34.67181,-7.597779,0.4798551,0,0.04144933
98200140,1,0,50.47456,34.61343,-7.59697,0.5140377,0,0.05031373
98200203,1,0,50.39716,34.52967,-7.595711,0.8712266,0,0.0464357
98200375,1,0,50.26601,34.39106,-7.593472,1.42126,0,0.05581953
98200468,1,0,50.05621,34.1787,-7.589658,2.098183,0,0.05738715
98200609,1,0,49.75997,33.88006,-7.583634,2.856192,0,0.06960618
98200703,1,0,49.37352,33.4911,-7.574766,3.631088,0,0.07852121
98200812,1,0,48.89301,33.01198,-7.562262,4.394892,0,0.0624341
98200937,0,0,48.32384,32.44384,-7.545171,5.158465,0,0.04388498
98201062,0,0,47.69311,31.81572,-7.523391,5.623212,0,0.06608627
98201171,0,0,47.02834,31.15412,-7.497222,5.62054,0,0.08601771
98201343,1,0,46.35249,30.48311,-7.467244,5.676709,0,0.04293858
98201406,1,0,45.63514,29.77006,-7.430475,6.191126,0,0.03844305
98201562,1,0,44.84331,28.98698,-7.385257,6.978789,0,0.06424496
98201671,1,0,43.97692,28.12983,-7.331435,7.63259,0,0
98201812,1,0,43.0224,27.18358,-7.266494,8.342374,0,0.06039311
98201906,1,0,41.98496,26.15792,-7.188572,9.0561,0,0.04262703
98202015,0,0,40.87163,25.05304,-7.095491,9.763608,0,0.1006492
98202171,0,0,39.68934,23.88381,-6.986078,10.02875,0,0.04382075
98202296,0,0,38.46715,22.67733,-6.862391,10.10441,0,0.04537942
98202406,0,0,37.2458,21.47023,-6.727257,10.10445,0,0.06648713
98202546,0,0,36.03625,20.27697,-6.583027,10.11764,0,0.07858863
98202609,0,0,34.85199,19.10836,-6.436146,9.751846,0,0.08509097
98202765,0,0,33.68517,17.95725,-6.288891,9.711628,0,0.1310944
98202875,0,0,32.54521,16.82967,-6.147727,9.521094,0,0.1962662
98203000,1,0,31.42106,15.71543,-6.008619,9.519195,0,0.2686695
98203156,1,0,30.30418,14.60609,-5.869532,9.462893,0,0.3095507
98203203,1,0,29.16035,13.46939,-5.725063,10.02233,0,0.4062839
98203343,0,0,27.95683,12.28226,-5.565508,10.50472,0,0.3889464
98203500,0,0,26.68007,11.04869,-5.385678,11.11894,0,0.191663
98203578,0,0,25.37307,9.813787,-5.189019,11.18375,0,0.1778692
98203734,0,0,24.0575,8.600642,-4.979597,10.91809,0,0.1699379
98203843,0,0,22.75167,7.433247,-4.758525,10.84691,0,0.08198982
98203953,0,0,21.47722,6.344641,-4.530103,10.57127,0,0.09566363
98204078,0,0,20.20694,5.340294,-4.289598,10.55654,0,0.1555046
98204203,0,0,18.963,4.485883,-4.044114,10.45129,0,0.1822599
98204312,0,1,17.74777,3.86927,-3.801237,10.35748,0,0.2804256
98204468,0,1,16.6569,3.602287,-3.580293,8.586506,0,0.3431126
98204531,0,1,15.82073,3.634229,-3.406425,6.590223,0,0.540312
98204640,0,1,15.23785,3.792858,-3.278937,4.649513,0,0.6394729
98204765,0,1,14.89015,3.956574,-3.193405,2.943522,0,0.8352802
98204906,0,1,14.74288,4.068604,-3.144446,1.706812,0,0.9650998
98205031,0,0,14.71319,4.144259,-3.114058,1.024921,0,1.176839
98205140,0,0,14.76906,4.191646,-3.095872,0.5936926,0,1.335523
98205265,0,0,14.88623,4.221521,-3.084698,0.4515608,0,1.599567
98205375,0,0,15.04174,4.246775,-3.075412,0.3746078,0,1.858645
98205531,1,0,15.23268,4.270456,-3.066829,0.3647149,0,2.060034
98205640,1,0,15.43992,4.302809,-3.055284,0.5946444,0,2.338984
98205765,1,0,15.63346,4.362039,-3.034649,1.078896,0,2.654295
98205875,0,0,15.78193,4.470211,-2.998411,1.864628,0,2.947681
98205968,0,0,15.89986,4.626939,-2.948598,2.305541,0,3.281076
98206140,0,0,16.0151,4.817582,-2.890363,2.496936,0,3.522226
98206203,1,0,16.13331,5.022399,-2.829086,2.591534,0,3.526604
98206359,1,0,16.20934,5.256135,-2.760047,2.953215,0,3.341936
98206468,1,0,16.1987,5.546632,-2.676364,3.562766,0,3.142986
98206593,1,0,16.07721,5.917625,-2.572371,4.33566,0,2.946757
98206703,1,0,15.84183,6.376955,-2.446526,5.095201,0,2.74143
98206843,0,0,15.51069,6.921078,-2.301922,5.74345,0,2.710603
98206968,0,0,15.13153,7.540376,-2.143192,5.985141,0,2.967197
98207062,0,0,14.78593,8.189072,-1.983029,6.232248,0,3.412173
98207171,0,0,14.5073,8.839898,-1.828216,5.827725,0,3.857915
98207296,0,0,14.28207,9.501142,-1.67338,5.987579,0,4.310106
98207468,0,0,14.1109,10.16963,-1.518738,5.972354,0,4.748357
98207562,0,0,13.99666,10.83752,-1.365731,5.997535,0,4.980143
98207671,0,0,13.96375,11.4903,-1.217349,5.682646,0,5.934088
98207796,0,0,13.98536,12.1291,-1.073059,5.341769,0,6.03069
98207906,0,0,14.06269,12.77812,-0.9273558,5.466604,0,6.241141
98208062,1,0,14.18028,13.42307,-0.7876298,5.401971,0,6.491275
98208171,1,0,14.306,14.07169,-0.6521044,5.651935,0,6.220355
98208296,0,0,14.36731,14.76457,-0.5142057,6.019867,0,6.126089
98208375,0,0,14.35756,15.50123,-0.3710377,6.133299,0,5.688274
98208562,0,0,14.29864,16.2519,-0.2290242,6.266998,0,5.468112
98208640,0,0,14.23455,16.99227,-0.09446537,6.371911,0,5.474091
98208734,0,0,14.13266,17.72441,0.03485417,6.18282,1,4.61261
98208875,0,0,13.80107,18.45115,0.1587191,6.200216,1,2.372641
98209000,0,0,13.29913,19.16818,0.2792523,6.13702,1,1.589704
98209109,0,0,12.77699,19.88533,0.4013567,6.232868,1,1.569499
98209265,0,0,12.24233,20.59555,0.5194028,6.165966,1,1.285941
98209328,0,1,11.68019,21.28391,0.6285334,5.362138,1,0.7877179
98209500,0,1,11.2303,21.79381,0.705423,3.557138,1,0.2754661
98209562,0,1,10.94473,22.10161,0.7506661,1.939851,1,0.0636496
98209734,0,1,10.76069,22.29362,0.7784324,1.349519,1,0
98209828,0,1,10.6541,22.40428,0.7943631,0.6115553,1,0.006294121
98209937,0,1,10.62391,22.43753,0.7991148,0.0007473518,1,0.07498609
98210109,0,1,10.63757,22.42382,0.7971197,0,1,0
98210203,0,0,10.65248,22.41096,0.7951805,0,1,0.06328505
98210296,0,0,10.66123,22.40467,0.7942007,0,1,0.01196567
98210437,0,0,10.66595,22.40145,0.7937003,0,1,0.0001528515
98210562,0,0,10.66727,22.40364,0.7940318,0,1,0.01182685
98210671,0,0,10.66536,22.40718,0.7945569,0.002134596,1,0
98210796,0,0,10.6741,22.41065,0.7950577,0.0020082,0,0.200348
98210906,0,0,10.71028,22.41408,0.7955535,0.001647237,0,0.4398873
98211031,0,0,10.77627,22.41746,0.7960548,0.001284284,0,0.7100744
98211140,0,0,10.87974,22.4208,0.7965647,0.0009289155,0,1.020434
98211265,0,0,11.02206,22.4241,0.7970636,0.0006097545,0,1.278046
98211375,0,1,11.17072,22.42804,0.7976478,0.03497868,0,1.196907
98211531,0,1,11.30593,22.42414,0.7970819,0,0,0.9840305
98211656,0,1,11.42408,22.41473,0.7957292,0,0,0.7779956
98211765,0,1,11.52847,22.40097,0.7937334,0,0,0.7383063
98211875,0,1,11.61709,22.38774,0.7918618,0,0,0.5816898
98212000,0,1,11.70118,22.37468,0.7899755,0,0,0.5631433
98212093,0,1,11.78239,22.36074,0.7879804,0,0,0.5484083
98212203,0,1,11.86141,22.34709,0.7860017,0,0,0.5610043
98212328,0,1,11.93789,22.33363,0.7840585,0,0,0.4995801
98212500,0,1,12.01223,22.32006,0.782088,0,0,0.5300038
98212593,0,1,12.0881,22.30648,0.7800962,0,0,0.4768576
98212718,0,1,12.16379,22.2928,0.7780913,0,0,0.5235789
98212828,0,1,12.23678,22.27966,0.7761588,0,0,0.5134637
98212968,0,1,12.30964,22.26561,0.7740948,0,0,0.4838869
98213078,0,1,12.38301,22.25245,0.7721769,0,0,0.5107921
98213203,0,1,12.45584,22.23943,0.7702419,0,0,0.5000059
98213296,0,1,12.53088,22.22548,0.7682034,0,0,0.5376508
98213406,0,1,12.60672,22.21197,0.7661922,0,0,0.5151908
98213531,0,1,12.67967,22.19883,0.7642633,0,0,0.4694113
98213703,0,1,12.75488,22.18441,0.7621235,0,0,0.5184013
98213796,0,0,12.82912,22.17182,0.7602555,0,0,0.5301726
98213906,0,0,12.89971,22.16319,0.7589605,0,0,0.4961035
98214031,0,0,12.96639,22.15843,0.7582518,0.00185696,0,0.5408925
98214125,0,0,13.02619,22.15925,0.7583821,0.04025243,0,0.4755994
98214296,0,0,13.08386,22.16402,0.7590907,0.0397228,0,0.5175524
98214359,0,0,13.14259,22.16873,0.7597904,0.03922733,0,0.5601975
98214531,0,0,13.19836,22.17338,0.7604812,0.03873801,0,0.4726866
98214656,0,0,13.25709,22.17798,0.7611697,0.03831818,0,0.5893818
98214734,0,0,13.34258,22.18252,0.7618694,0.03784465,0,0.8915097
98214859,0,0,13.47023,22.187,0.7625803,0.03740757,0,1.284903
98214968,0,0,13.65451,22.19142,0.7632907,0.03694277,0,1.709767
98215125,0,0,13.8949,22.19511,0.7638824,0.002085534,0,2.230953
98215234,0,0,14.19487,22.19511,0.7638826,0,0,2.656822
98215359,0,0,14.5474,22.19511,0.7638826,1.958099E-09,0,3.094891
98215468,0,0,14.9542,22.19511,0.7638826,0,0,3.562366
98215562,0,0,15.41419,22.19511,0.7638826,0,0,4.009069
98215703,0,0,15.9272,22.19511,0.7638826,0,0,4.459751
98215843,0,0,16.49147,22.19511,0.7638524,0.001755882,0,4.864949
98215937,1,0,17.08448,22.19511,0.7638518,0.001775104,0,4.735998
98216093,0,0,17.65943,22.20719,0.7656955,0.1604502,0,4.917539
98216156,0,0,18.20765,22.23141,0.7693073,0.2056757,0,4.665421
98216296,0,0,18.73062,22.25576,0.7729997,0.2022458,0,4.532251
98216468,0,0,19.24524,22.27982,0.7766509,0.19942,0,4.425572
98216531,0,0,19.73419,22.30359,0.7801762,0.1966451,0,4.176982
98216703,1,0,20.19395,22.32706,0.7836529,0.1938615,0,3.939124
98216796,1,0,20.61131,22.36537,0.7893332,0.4615471,0,3.716353
98216921,1,0,20.95496,22.45192,0.8020794,0.9915277,0,3.503974
98217031,1,0,21.19806,22.61515,0.8259712,1.696079,0,3.301825
98217140,1,0,21.32738,22.86949,0.8627607,2.464471,0,3.108648
98217281,1,0,21.33639,23.22192,0.912845,3.280269,0,2.914644
98217390,0,0,21.23807,23.6584,0.9737212,3.879333,0,2.708546
98217500,0,0,21.06519,24.14674,1.040132,4.206623,0,2.511817
98217625,0,0,20.84862,24.65532,1.107364,4.264025,0,2.28344
98217734,0,0,20.61414,25.16024,1.172139,4.211728,0,2.10708
98217890,0,0,20.36453,25.65908,1.234214,4.160046,0,1.966386
98218000,0,0,20.10107,26.15191,1.29367,4.109069,0,1.787336
98218125,0,0,19.82322,26.63877,1.350584,4.058877,0,1.604309
98218218,0,0,19.52938,27.11972,1.40503,4.009779,0,1.398468
98218328,0,0,19.22156,27.59485,1.457085,3.965214,0,1.260962
98218453,0,0,18.89868,28.06405,1.506801,3.919675,0,1.085256
98218625,0,0,18.56069,28.52748,1.554249,3.87204,0,0.9278212
98218718,0,0,18.20589,28.98522,1.599497,3.824883,1,0.7130584
98218828,0,0,17.81241,29.43735,1.642611,3.778277,1,0.2669646
98218953,0,0,17.38923,29.88392,1.683658,3.732236,1,0.04578193
98219062,0,0,16.96051,30.325,1.722699,3.686768,1,0
98219171,0,0,16.53444,30.76065,1.759796,3.641873,1,0.009629809
98219296,0,1,16.11379,31.19093,1.795011,3.597549,1,0.03888524
98219421,0,1,15.82714,31.48371,1.817815,1.832472,1,0.01689343
98219531,0,1,15.6366,31.67873,1.832263,1.438382,1,0.008929608
98219656,0,1,15.50985,31.80846,1.84172,0.8278548,1,0
98219828,0,1,15.46156,31.85844,1.845375,0.1446986,1,0.05013787
98219921,0,1,15.47364,31.84789,1.844592,0,1,0.01015803
98220062,0,0,15.48662,31.83555,1.843691,0,1,0.03639446
98220125,0,0,15.49635,31.82795,1.843132,0,1,0.01777846
98220296,0,0,15.49825,31.82619,1.84301,0,1,0
98220437,1,0,15.49601,31.8307,1.843363,0.09538341,1,0
98220500,0,0,15.46677,31.86275,1.845783,0.3861702,1,0.05364935
98220656,0,0,15.42058,31.91157,1.849434,0.3926462,1,0
98220718,0,0,15.3811,31.96167,1.853158,0.3890611,0,0.1827118
98220890,0,0,15.36909,32.01073,1.856791,0.3792065,0,0.359687
98220984,0,0,15.36572,32.05946,1.860381,0.3758311,0,0.402526
98221093,0,0,15.37023,32.10744,1.863904,0.3705615,0,0.4466597
98221218,0,0,15.37895,32.15485,1.86737,0.3653833,0,0.5102295
98221328,0,0,15.38879,32.20166,1.870778,0.3602438,0,0.5211376
98221484,1,0,15.39825,32.24788,1.874129,0.3550451,0,0.4326393
98221593,1,0,15.39519,32.30851,1.878437,0.6713718,0,0.4308806
98221750,0,0,15.35669,32.40655,1.885319,0.8755518,0,0.4920535
98221828,0,0,15.31104,32.51146,1.892636,0.8657609,0,0.4644176
98221937,0,0,15.26764,32.61502,1.899771,0.8551724,0,0.518994
98222062,0,0,15.22646,32.71754,1.906749,0.8519025,0,0.4876502
98222187,0,0,15.19421,32.81922,1.913879,0.8413042,0,0.6265825
98222328,0,0,15.2004,32.91971,1.921296,0.8288129,0,0.9639624
98222437,0,0,15.25843,33.01901,1.929003,0.8207424,0,1.544648
98222562,0,0,15.36882,33.11709,1.936747,0.8103226,0,1.889188
98222656,0,0,15.53788,33.21395,1.944394,0.8001264,0,2.43144
98222765,0,0,15.76211,33.30961,1.951946,0.790556,0,2.868577
98222890,0,0,16.04208,33.4041,1.959406,0.7807307,0,3.331474
98223046,0,0,16.37622,33.49742,1.966774,0.7704794,0,3.774005
98223156,0,0,16.76425,33.58958,1.97405,0.7608224,0,4.209492
98223265,0,0,17.20576,33.68063,1.981237,0.7521294,0,4.635441
98223359,0,0,17.70005,33.77054,1.988336,0.742633,0,5.064885
98223500,0,0,18.2564,33.85934,1.995347,0.7336009,0,5.529691
98223656,0,0,18.85996,33.94705,2.002271,0.723955,0,5.926132
98223718,0,0,19.50357,34.03367,2.00911,0.7151003,0,6.145963
98223890,0,0,20.21187,34.11922,2.015864,0.7067444,0,6.838846
98223984,0,0,20.96022,34.20374,2.022536,0.6976538,0,7.044541
98224093,0,0,21.76671,34.28719,2.029125,0.6893628,0,7.819372
98224218,0,0,22.6116,34.36963,2.035634,0.6805694,0,7.840212
98224328,0,0,23.50827,34.45105,2.042061,0.6724163,0,8.063533
98224484,0,0,24.43892,34.53148,2.04841,0.6640097,0,8.361451
98224593,0,0,25.4313,34.6109,2.05468,0.6558964,0,9.074648
98224718,0,0,26.47158,34.68935,2.060874,0.6477645,0,9.800367
98224828,0,0,27.54642,34.76684,2.066992,0.6396883,0,10.04113
98224937,0,0,28.67397,34.84336,2.073033,0.6318506,0,10.44866
98225062,0,0,29.83173,34.91895,2.079,0.6240188,0,10.50003
98225218,0,0,31.03835,34.99361,2.084894,0.6162631,0,10.89141
98225328,0,0,32.28484,35.06734,2.090715,0.6080491,0,11.04062
98225421,0,0,33.58083,35.14016,2.096464,0.6004069,0,11.75046
98225562,0,0,34.92227,35.2121,2.102143,0.5937162,0,12.08889
98225656,0,0,36.29176,35.28315,2.107752,0.586309,0,12.1178
98225765,0,0,37.70976,35.35331,2.113291,0.5791377,0,12.5
98225906,0,0,39.12236,35.42263,2.118763,0.5719623,0,12.5
98226015,0,0,40.53876,35.49109,2.124167,0.5648721,0,12.5
98226140,0,0,41.94279,35.5587,2.129505,0.5576245,0,12.21667
98226250,1,0,43.36502,35.62918,2.13507,0.6483348,0,12.5
98226406,0,0,44.7508,35.72603,2.142715,0.9180235,0,12.5
98226515,0,0,46.10067,35.85027,2.15231,1.075467,0,12.41162
98226609,0,0,47.45003,35.9742,2.161335,1.062766,0,12.44326
98226734,0,0,48.78591,36.09682,2.169704,1.054366,0,12.28866
98226843,0,0,50.08314,36.21847,2.17764,1.04125,0,11.60502
98226968,0,0,51.35002,36.33809,2.185336,1.023042,0,11.1923
98227140,1,0,52.58091,36.45614,2.192833,1.013681,0,11.22394
98227218,1,0,53.75557,36.58611,2.200928,1.174569,0,10.66059
98227359,1,0,54.86086,36.7597,2.211505,1.668793,0,10.62778
98227500,1,0,55.85152,37.01068,2.226589,2.389673,0,10.38831
98227609,1,0,56.71519,37.35397,2.246378,3.165762,0,10.09206
98227718,1,0,57.45213,37.79209,2.27033,3.981539,0,9.773752
98227843,1,0,58.05837,38.3217,2.297513,4.738128,0,9.225834
98227937,1,0,58.55903,38.93219,2.326535,5.298771,0,9.003085
98228046,1,0,58.93242,39.64282,2.357335,6.364695,0,8.635605
98228187,1,0,59.17689,40.44722,2.387585,7.075268,0,8.609804
98228281,1,0,59.29644,41.33704,2.415968,7.760558,0,8.07326
98228453,1,0,59.29762,42.31167,2.440449,8.471766,0,7.924377
