Time,Accel,Brake,Distance,Driven,Gap,PlayerSpeed,FrontBrake,FrontSpeed
233728875,0,0,16.00164,0.07,0,4.699708E-20,0,0.05624444
233729000,0,0,16.00942,0.07,0,4.699708E-20,0,0.06557836
233729125,0,0,16.019,0.07,0,4.699708E-20,0,0.06954717
233729265,0,0,16.02883,0.07,0,4.699708E-20,0,0.1081273
233729359,0,0,16.04463,0.07,0,4.699708E-20,0,0.1532027
233729484,0,0,16.06544,0.07,0,4.699708E-20,0,0.2415867
233729593,0,0,16.09082,0.07,0,4.699708E-20,0,0.1784279
233729718,0,0,16.1189,0.07,0,4.699708E-20,0,0.216032
233729843,0,0,16.14924,0.07,0,4.699708E-20,0,0.2714356
233729953,0,0,16.17747,0.07,0,4.699708E-20,0,0.2090606
233730078,0,0,16.20698,0.07,0,4.699708E-20,0,0.2314434
233730187,0,0,16.23986,0.07,0,4.699708E-20,0,0.2675516
233730328,0,0,16.27452,0.07,0,4.699708E-20,0,0.304765
233730437,0,0,16.31539,0.07,0,4.699708E-20,0,0.3705192
233730562,0,0,16.36313,0.07,0,4.699708E-20,0,0.4141704
233730687,0,0,16.41757,0.07,0,4.699708E-20,0,0.5201667
233730796,0,0,16.48217,0.07,0,4.699708E-20,0,0.5577676
233730921,0,0,16.55909,0.07,0,4.699708E-20,0,0.7232037
233731031,0,0,16.64685,0.07,0,4.699708E-20,0,0.8010851
233731171,0,0,16.74749,0.07,0,4.699708E-20,0,0.8508539
233731281,0,0,16.86131,0.07,0,4.699708E-20,0,1.013321
233731406,0,0,16.99144,0.07,0,4.699708E-20,0,1.113035
233731515,0,0,17.13329,0.07,0,4.699708E-20,0,1.248944
233731640,0,0,17.29223,0.07,0,4.699708E-20,0,1.319165
233731765,0,0,17.46896,0.07,0,4.699708E-20,0,1.535505
233731890,0,0,17.66641,0.07,0,4.699708E-20,0,1.695448
233732000,0,0,17.88926,0.07,0,4.699708E-20,0,1.939184
233732109,0,0,18.13855,0.07,0,4.699708E-20,0,2.169609
233732234,0,0,18.41906,0.07,0,4.699708E-20,0,2.477214
233732359,0,0,18.7344,0.07,0,4.699708E-20,0,2.778649
233732468,0,0,19.0854,0.07,0,4.699708E-20,0,3.08864
233732625,0,0,19.47656,0.07,0,4.699708E-20,0,3.427363
233732765,0,0,19.91075,0.07,0,4.699708E-20,0,3.794181
233732859,0,0,20.39278,0.07,0,4.699708E-20,0,4.205161
233732953,0,0,20.92669,0.07,0,4.699708E-20,0,4.630877
233733078,0,0,21.5125,0.07,0,4.699708E-20,0,5.060364
233733203,0,0,22.1595,0.07,0,4.699708E-20,0,5.525215
233733328,0,0,22.85283,0.07,0,4.699708E-20,0,5.92571
233733468,0,0,23.58483,0.07,0,4.699708E-20,0,6.236258
233733546,0,0,24.37218,0.07,0,4.699708E-20,0,6.784902
233733671,0,0,25.21876,0.07,0,4.699708E-20,0,7.308404
233733812,0,0,26.10043,0.07,0,4.699708E-20,0,7.413393
233733937,0,0,27.02135,0.07,0,4.699708E-20,0,7.672404
233734031,0,0,27.99164,0.07,0,4.699708E-20,0,7.817006
233734156,0,0,29.02206,0.07,0,4.699708E-20,0,8.793109
233734296,0,0,30.08644,0.07,0,4.699708E-20,0,9.110205
233734421,0,0,31.19238,0.07,0,4.699708E-20,0,9.046723
233734515,0,0,32.34218,0.07,0,4.699708E-20,0,9.548385
233734640,0,0,33.54143,0.07,0,4.699708E-20,0,10.35443
233734796,0,0,34.78854,0.07,0,4.699708E-20,0,10.7709
233734890,0,0,36.06734,0.07,0,4.699708E-20,0,11.12202
233735000,0,0,37.39826,0.07,0,4.699708E-20,0,11.45557
233735125,0,0,38.76788,0.07,0,4.699708E-20,0,11.81415
233735250,0,0,40.18184,0.07,0,4.699708E-20,0,12.22999
233735359,0,0,41.62879,0.07,0,4.699708E-20,0,12.5
233735468,0,0,43.11131,0.07,0,4.699708E-20,0,12.5
233735609,0,0,44.59025,0.07,0,4.699708E-20,0,12.5
233735734,0,0,46.07204,0.07,0,4.699708E-20,0,12.5
233735843,0,0,47.55902,0.07,0,4.699708E-20,0,12.5
233735953,0,0,49.03515,0.07,0,4.699708E-20,0,12.48949
233736078,0,0,50.52151,0.07,0,4.699708E-20,0,12.26656
233736203,0,0,52.0154,0.07,0,4.699708E-20,0,12.5
233736312,0,0,53.50385,0.07,0,4.699708E-20,0,12.49783
233736437,0,0,55.00732,0.07,0,4.699708E-20,0,12.48677
233736546,0,0,56.51181,0.07,0,4.699708E-20,0,12.5
233736671,0,0,58.01969,0.07,0,4.699708E-20,0,12.40898
233736796,0,0,59.52318,0.07,0,4.699708E-20,0,12.5
233736921,0,0,61.02894,0.07,0,4.699708E-20,0,12.38488
233737031,0,0,62.53438,0.07,0,4.699708E-20,0,12.5
233737171,0,0,64.03806,0.07,0,4.699708E-20,0,12.49014
233737265,0,0,65.54247,0.07,0,4.699708E-20,0,12.5
233737390,0,0,67.05058,0.07,0,4.699708E-20,0,12.42716
233737515,0,0,68.55193,0.07,0,4.699708E-20,0,12.48905
233737640,0,0,70.05773,0.07,0,4.699708E-20,0,12.48925
233737781,0,0,71.56144,0.07,0,4.699708E-20,0,12.48997
233737875,0,0,73.0659,0.07,0,4.699708E-20,0,12.5
233738015,0,0,74.57365,0.07,0,4.699708E-20,0,12.39861
233738125,0,0,76.07707,0.07,0,4.699708E-20,0,12.5
233738265,0,0,77.58305,0.07,0,4.699708E-20,0,12.5
233738359,0,0,79.08774,0.07,0,4.699708E-20,0,12.5
233738484,0,0,80.59338,0.07,0,4.699708E-20,0,12.5
233738609,0,0,82.09941,0.07,0,4.699708E-20,0,12.38737
233738718,0,0,83.60437,0.07,0,4.699708E-20,0,12.5
233738843,0,0,85.0928,0.07,0,4.699708E-20,1,11.85057
233738968,0,0,86.50691,0.07,0,4.699708E-20,1,11.45525
233739093,0,0,87.8429,0.07,0,4.699708E-20,1,10.81214
233739187,0,0,89.03608,0.07,0,4.699708E-20,1,9.403919
233739312,0,0,90.06302,0.07,0,4.699708E-20,1,8.047758
233739437,0,0,90.88922,0.07,0,4.699708E-20,1,6.057909
233739562,0,0,91.48037,0.07,0,4.699708E-20,1,4.162725
233739687,0,0,91.86079,0.07,0,4.699708E-20,1,2.464446
233739828,0,0,92.10972,0.07,0,4.699708E-20,1,2.048341
233739921,0,0,92.35603,0.07,0,4.699708E-20,1,2.040223
233740046,1,0,92.59724,0.07,0,4.699708E-20,1,2.040569
233740156,1,0,92.81909,0.07093193,0,0.1946924,1,1.951724
233740296,1,0,92.9959,0.09467442,0,0.6871174,1,1.910537
233740406,1,0,93.09175,0.2034017,0,1.368056,1,1.826509
233740515,1,0,93.09064,0.4189185,0,2.191231,1,1.802217
233740656,1,0,92.99345,0.7324395,0,2.977031,1,1.809384
233740781,1,0,92.79468,1.143646,0,3.773174,1,1.756103
233740890,1,0,92.51469,1.64786,-0.0005584955,4.527018,0,2.076017
233741000,1,0,92.18611,2.237995,-0.004024148,4.960542,0,2.26983
